"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"ta_intro","time_activity_supplement","Where Your Child Spends Time","descriptive","<p>This short questionnaire asks about your child's typical weekly schedule and home environment. It helps us understand the air your child actually breathes across the day. There are no right or wrong answers. Most families finish in about 6 minutes.</p>","","","","","","","","","","","","",""
"ta_survey_date","time_activity_supplement","","text","Date completed","","","date_mdy","","","","","","","","","","@TODAY @HIDDEN-SURVEY @READONLY"
"ta_period","time_activity_supplement","","radio","Which schedule are you describing today?","1, School year (typical week while school is in session) | 2, Summer or extended school break","","","","","","","y","","","","",""
"ta_period_start","time_activity_supplement","","text","About when did this schedule begin?","","Approximate month and year is fine.","date_mdy","","","","","","","","","",""
"ta_multi_residence","time_activity_supplement","Homes and Locations","yesno","Does your child regularly spend nights at more than one home (for example, shared custody, or regularly staying with a relative)?","","","","","","","","y","","","","",""
"ta_nights_primary","time_activity_supplement","","text","In a typical week, how many nights does your child sleep at this (primary) home?","","0 to 7 nights","integer","0","7","","[ta_multi_residence] = ''1''","","","","","","@DEFAULT=''7''"
"ta_nights_secondary","time_activity_supplement","","text","In a typical week, how many nights does your child sleep at the other home?","","0 to 7 nights","integer","0","7","","[ta_multi_residence] = ''1''","","","","","","@DEFAULT=''0''"
"ta_sec_address","time_activity_supplement","","text","Street address of the other home","","We use this only to estimate outdoor air quality near that address.","","","","y","[ta_multi_residence] = ''1''","","","","","",""
"ta_sec_city","time_activity_supplement","","text","City","","","","","","y","[ta_multi_residence] = ''1''","","","","","",""
"ta_sec_zip","time_activity_supplement","","text","ZIP code","","","integer","","","y","[ta_multi_residence] = ''1''","","","","","",""
"ta_home_type","time_activity_supplement","","radio","What kind of home is your primary residence?","1, Single-family house | 2, Apartment or condominium | 3, Mobile or manufactured home | 4, Duplex or townhome | 5, Other","","","","","","","","","","","",""
"ta_home_age","time_activity_supplement","","radio","About how old is your primary home?","1, Less than 10 years | 2, 10 to 30 years | 3, 30 to 50 years | 4, More than 50 years | 5, Not sure","","","","","","","","","","","",""
"ta_school_attend","time_activity_supplement","School or Childcare","radio","Does your child currently attend school or childcare outside the home?","1, Yes - school | 2, Yes - daycare or childcare | 3, No - home-schooled | 4, No - not in school or childcare","","","","","","","y","","","","",""
"ta_school_name","time_activity_supplement","","text","Name of the school or childcare center","","","","","","y","[ta_school_attend] = ''1'' or [ta_school_attend] = ''2''","","","","","",""
"ta_school_address","time_activity_supplement","","text","Street address of the school or childcare center","","We use this only to estimate outdoor air quality near that address.","","","","y","[ta_school_attend] = ''1'' or [ta_school_attend] = ''2''","","","","","",""
"ta_school_city","time_activity_supplement","","text","City","","","","","","y","[ta_school_attend] = ''1'' or [ta_school_attend] = ''2''","","","","","",""
"ta_school_zip","time_activity_supplement","","text","ZIP code","","","integer","","","y","[ta_school_attend] = ''1'' or [ta_school_attend] = ''2''","","","","","",""
"ta_school_days","time_activity_supplement","","text","How many days per week does your child usually attend?","","0 to 7 days","integer","0","7","","[ta_school_attend] = ''1'' or [ta_school_attend] = ''2''","","","","","","@DEFAULT=''5''"
"ta_school_start","time_activity_supplement","","text","What time does your child usually arrive?","","","time","","","","[ta_school_attend] = ''1'' or [ta_school_attend] = ''2''","","","","","",""
"ta_school_end","time_activity_supplement","","text","What time does your child usually leave?","","","time","","","","[ta_school_attend] = ''1'' or [ta_school_attend] = ''2''","","","","","",""
"ta_school_changed","time_activity_supplement","","yesno","Has your child changed schools or childcare centers in the past 6 months?","","","","","","","[ta_school_attend] = ''1'' or [ta_school_attend] = ''2''","","","","","",""
"ta_wd_intro","time_activity_supplement","A Typical Weekday","descriptive","<p>Think about a <strong>typical weekday</strong> for your child. Please estimate how many hours are spent in each place. Include sleeping hours. Your answers should add up to about 24 hours - we will show you a running total.</p>","","","","","","","","","","","","",""
"ta_wd_home_indoor","time_activity_supplement","","text","Hours INDOORS at home","","Include sleeping.","number","0","24","","","y","","","","","@DEFAULT=''0''"
"ta_wd_home_outdoor","time_activity_supplement","","text","Hours OUTDOORS at or near home","","Yard, driveway, street, neighborhood park.","number","0","24","","","y","","","","","@DEFAULT=''0''"
"ta_wd_school_indoor","time_activity_supplement","","text","Hours INDOORS at school or childcare","","","number","0","24","","[ta_school_attend] = ''1'' or [ta_school_attend] = ''2''","","","","","","@DEFAULT=''0''"
"ta_wd_school_outdoor","time_activity_supplement","","text","Hours OUTDOORS at school or childcare","","Recess, PE, waiting for pickup.","number","0","24","","[ta_school_attend] = ''1'' or [ta_school_attend] = ''2''","","","","","","@DEFAULT=''0''"
"ta_wd_other_indoor","time_activity_supplement","","text","Hours INDOORS somewhere else","","Relative's home, stores, church, indoor activities.","number","0","24","","","","","","","","@DEFAULT=''0''"
"ta_wd_other_outdoor","time_activity_supplement","","text","Hours OUTDOORS somewhere else","","Sports fields, parks, other outdoor activities.","number","0","24","","","","","","","","@DEFAULT=''0''"
"ta_wd_transit","time_activity_supplement","","text","Hours in a car, bus, or other vehicle","","Round trips combined. 30 minutes = 0.5","number","0","12","","","","","","","","@DEFAULT=''0''"
"ta_wd_total","time_activity_supplement","","calc","Weekday total (hours)","sum([ta_wd_home_indoor],[ta_wd_home_outdoor],[ta_wd_school_indoor],[ta_wd_school_outdoor],[ta_wd_other_indoor],[ta_wd_other_outdoor],[ta_wd_transit])","","","","","","","","","","","",""
"ta_wd_warn","time_activity_supplement","","descriptive","<p style=''color:#b00020''><strong>Your weekday hours do not add up to 24.</strong> Please adjust your answers above so the total is close to 24 hours.</p>","","","","","","","[ta_wd_total] > 0 and ([ta_wd_total] < 23 or [ta_wd_total] > 25)","","","","","",""
